date,open,high,low,close,volume
21/05/87,1.3348,1.3527,1.3304,1.3304,43450400
22/05/87,1.3393,1.3482,1.317,1.3236,24276000
26/05/87,1.3304,1.3929,1.3214,1.3929,38063200
27/05/87,1.3929,1.433,1.3839,1.4196,45175200
28/05/87,1.4196,1.433,1.4018,1.4286,37805600
29/05/87,1.433,1.4375,1.4107,1.4107,23150400
01/06/87,1.4196,1.4196,1.3839,1.3884,20826400
02/06/87,1.3839,1.3929,1.375,1.3795,34372800
03/06/87,1.3795,1.4196,1.3795,1.3884,42828800
04/06/87,1.3929,1.4063,1.375,1.4018,38399200
05/06/87,1.4063,1.4063,1.3884,1.3884,32732000
08/06/87,1.3884,1.3929,1.3705,1.3884,50461600
09/06/87,1.3839,1.4196,1.3839,1.4018,31763200
10/06/87,1.4063,1.433,1.3929,1.4018,36556800
11/06/87,1.4018,1.4286,1.3929,1.4107,31343200
12/06/87,1.4107,1.4241,1.4063,1.4107,25440800
15/06/87,1.4107,1.4196,1.3839,1.4018,64960000
16/06/87,1.4821,1.4911,1.3571,1.4821,42840000
17/06/87,1.4821,1.5179,1.4286,1.4464,74480000
18/06/87,1.4375,1.4911,1.4107,1.4821,57400000
19/06/87,1.4821,1.4911,1.4421,1.4643,31360000
22/06/87,1.4732,1.5089,1.46,1.5,42280000
23/06/87,1.5,1.5046,1.4554,1.4732,20213200
24/06/87,1.4821,1.5446,1.4464,1.5,29680000
25/06/87,1.5,1.5179,1.4464,1.4464,30240000
26/06/87,1.4554,1.4821,1.4286,1.4464,31920000
29/06/87,1.4464,1.4554,1.4286,1.4554,25326000
30/06/87,1.4464,1.4643,1.4196,1.4464,36120000
01/07/87,1.4554,1.4554,1.4196,1.4286,23707600
02/07/87,1.4286,1.4643,1.4196,1.4511,20389600
06/07/87,1.4554,1.4911,1.4464,1.4554,21372400
07/07/87,1.4464,1.4643,1.3839,1.4018,50960000
08/07/87,1.4018,1.4018,1.3036,1.3304,85400000
09/07/87,1.3304,1.3839,1.3304,1.3482,59920000
10/07/87,1.3571,1.4018,1.3482,1.3571,39200000
13/07/87,1.3929,1.4554,1.3839,1.4464,63840000
14/07/87,1.4643,1.5357,1.4643,1.5357,64400000
15/07/87,1.5357,1.5982,1.5089,1.5714,67760000
16/07/87,1.5714,1.5714,1.5446,1.5714,23646000
17/07/87,1.5804,1.5982,1.5268,1.5446,23049600
20/07/87,1.5357,1.5446,1.4821,1.4911,31080000
21/07/87,1.5,1.5179,1.4732,1.4779,27748000
22/07/87,1.4821,1.5268,1.4732,1.5179,15232000
23/07/87,1.5357,1.5536,1.4464,1.4911,18684400
24/07/87,1.4821,1.5268,1.4821,1.5179,29400000
27/07/87,1.5179,1.5357,1.5,1.5089,14159600
28/07/87,1.5179,1.5268,1.4911,1.4957,18572400
29/07/87,1.5,1.5,1.4464,1.4643,24707200
30/07/87,1.4643,1.4821,1.4554,1.4821,26073600
31/07/87,1.4732,1.5,1.4732,1.4732,18261600
03/08/87,1.4643,1.4821,1.4375,1.4375,15839600
04/08/87,1.4464,1.5089,1.4286,1.5089,30240000
05/08/87,1.5089,1.5536,1.5,1.5446,32480000
06/08/87,1.5446,1.6696,1.5268,1.6518,63000000
07/08/87,1.6518,1.6875,1.6429,1.6607,38080000
10/08/87,1.7232,1.7232,1.6339,1.7232,19499200
11/08/87,1.7679,1.7946,1.7411,1.7679,67760000
12/08/87,1.7679,1.7768,1.7232,1.7411,40320000
13/08/87,1.7411,1.7946,1.7321,1.75,49000000
14/08/87,1.7321,1.7857,1.7143,1.75,26213600
17/08/87,1.7679,1.7857,1.7411,1.7679,36400000
18/08/87,1.7589,1.7679,1.7232,1.7411,59360000
19/08/87,1.7679,1.7857,1.75,1.7857,16718800
20/08/87,1.7946,1.875,1.7768,1.8482,43960000
21/08/87,1.8482,1.9196,1.8393,1.8929,35000000
24/08/87,1.8929,1.9107,1.8661,1.8661,30240000
